"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","A","2010",5.21334,
"AUS","HUR","TOT","PC_LF","A","2011",5.081195,
"AUS","HUR","TOT","PC_LF","A","2012",5.223376,
"AUS","HUR","TOT","PC_LF","A","2013",5.66194,
"AUS","HUR","TOT","PC_LF","A","2014",6.077244,
"AUS","HUR","TOT","PC_LF","A","2015",6.056423,
"AUS","HUR","TOT","PC_LF","A","2016",5.710301,
"AUS","HUR","TOT","PC_LF","A","2017",5.59376,
"AUS","HUR","TOT","PC_LF","A","2018",5.299855,
"AUS","HUR","TOT","PC_LF","A","2019",5.159019,
"AUS","HUR","TOT","PC_LF","A","2020",6.465497,
"AUT","HUR","TOT","PC_LF","A","2010",4.841667,
"AUT","HUR","TOT","PC_LF","A","2011",4.575,
"AUT","HUR","TOT","PC_LF","A","2012",4.883333,
"AUT","HUR","TOT","PC_LF","A","2013",5.358333,
"AUT","HUR","TOT","PC_LF","A","2014",5.641667,
"AUT","HUR","TOT","PC_LF","A","2015",5.733333,
"AUT","HUR","TOT","PC_LF","A","2016",6.033333,
"AUT","HUR","TOT","PC_LF","A","2017",5.516667,
"AUT","HUR","TOT","PC_LF","A","2018",4.858333,
"AUT","HUR","TOT","PC_LF","A","2019",4.508333,
"AUT","HUR","TOT","PC_LF","A","2020",5.391667,
"BEL","HUR","TOT","PC_LF","A","2010",8.316667,
"BEL","HUR","TOT","PC_LF","A","2011",7.166667,
"BEL","HUR","TOT","PC_LF","A","2012",7.566667,
"BEL","HUR","TOT","PC_LF","A","2013",8.45,
"BEL","HUR","TOT","PC_LF","A","2014",8.533334,
"BEL","HUR","TOT","PC_LF","A","2015",8.5,
"BEL","HUR","TOT","PC_LF","A","2016",7.858333,
"BEL","HUR","TOT","PC_LF","A","2017",7.1,
"BEL","HUR","TOT","PC_LF","A","2018",5.958333,
"BEL","HUR","TOT","PC_LF","A","2019",5.366667,
"BEL","HUR","TOT","PC_LF","A","2020",5.558333,
"CAN","HUR","TOT","PC_LF","A","2010",8.116667,
"CAN","HUR","TOT","PC_LF","A","2011",7.558333,
"CAN","HUR","TOT","PC_LF","A","2012",7.333333,
"CAN","HUR","TOT","PC_LF","A","2013",7.125,
"CAN","HUR","TOT","PC_LF","A","2014",6.941667,
"CAN","HUR","TOT","PC_LF","A","2015",6.941667,
"CAN","HUR","TOT","PC_LF","A","2016",7.05,
"CAN","HUR","TOT","PC_LF","A","2017",6.4,
"CAN","HUR","TOT","PC_LF","A","2018",5.891667,
"CAN","HUR","TOT","PC_LF","A","2019",5.733333,
"CAN","HUR","TOT","PC_LF","A","2020",9.558333,
"CZE","HUR","TOT","PC_LF","A","2010",7.291667,
"CZE","HUR","TOT","PC_LF","A","2011",6.716667,
"CZE","HUR","TOT","PC_LF","A","2012",6.975,
"CZE","HUR","TOT","PC_LF","A","2013",6.966667,
"CZE","HUR","TOT","PC_LF","A","2014",6.116667,
"CZE","HUR","TOT","PC_LF","A","2015",5.058333,
"CZE","HUR","TOT","PC_LF","A","2016",3.966667,
"CZE","HUR","TOT","PC_LF","A","2017",2.908333,
"CZE","HUR","TOT","PC_LF","A","2018",2.266667,
"CZE","HUR","TOT","PC_LF","A","2019",2.016667,
"CZE","HUR","TOT","PC_LF","A","2020",2.55,
"DNK","HUR","TOT","PC_LF","A","2010",7.766667,
"DNK","HUR","TOT","PC_LF","A","2011",7.758333,
"DNK","HUR","TOT","PC_LF","A","2012",7.8,
"DNK","HUR","TOT","PC_LF","A","2013",7.391667,
"DNK","HUR","TOT","PC_LF","A","2014",6.883333,
"DNK","HUR","TOT","PC_LF","A","2015",6.3,
"DNK","HUR","TOT","PC_LF","A","2016",6.008333,
"DNK","HUR","TOT","PC_LF","A","2017",5.816667,
"DNK","HUR","TOT","PC_LF","A","2018",5.116667,
"DNK","HUR","TOT","PC_LF","A","2019",5.058333,
"DNK","HUR","TOT","PC_LF","A","2020",5.65,
"FIN","HUR","TOT","PC_LF","A","2010",8.541667,
"FIN","HUR","TOT","PC_LF","A","2011",7.966667,
"FIN","HUR","TOT","PC_LF","A","2012",7.808333,
"FIN","HUR","TOT","PC_LF","A","2013",8.3,
"FIN","HUR","TOT","PC_LF","A","2014",8.75,
"FIN","HUR","TOT","PC_LF","A","2015",9.458333,
"FIN","HUR","TOT","PC_LF","A","2016",8.916667,
"FIN","HUR","TOT","PC_LF","A","2017",8.766666,
"FIN","HUR","TOT","PC_LF","A","2018",7.433333,
"FIN","HUR","TOT","PC_LF","A","2019",6.741667,
"FIN","HUR","TOT","PC_LF","A","2020",7.725,
"FRA","HUR","TOT","PC_LF","A","2010",9.266666,
"FRA","HUR","TOT","PC_LF","A","2011",9.183333,
"FRA","HUR","TOT","PC_LF","A","2012",9.766666,
"FRA","HUR","TOT","PC_LF","A","2013",10.31667,
"FRA","HUR","TOT","PC_LF","A","2014",10.3,
"FRA","HUR","TOT","PC_LF","A","2015",10.35833,
"FRA","HUR","TOT","PC_LF","A","2016",10.05,
"FRA","HUR","TOT","PC_LF","A","2017",9.433333,
"FRA","HUR","TOT","PC_LF","A","2018",9.025,
"FRA","HUR","TOT","PC_LF","A","2019",8.425,
"FRA","HUR","TOT","PC_LF","A","2020",8.016666,
"DEU","HUR","TOT","PC_LF","A","2010",6.966667,
"DEU","HUR","TOT","PC_LF","A","2011",5.833333,
"DEU","HUR","TOT","PC_LF","A","2012",5.383333,
"DEU","HUR","TOT","PC_LF","A","2013",5.241667,
"DEU","HUR","TOT","PC_LF","A","2014",4.991667,
"DEU","HUR","TOT","PC_LF","A","2015",4.633333,
"DEU","HUR","TOT","PC_LF","A","2016",4.133333,
"DEU","HUR","TOT","PC_LF","A","2017",3.758333,
"DEU","HUR","TOT","PC_LF","A","2018",3.4,
"DEU","HUR","TOT","PC_LF","A","2019",3.15,
"DEU","HUR","TOT","PC_LF","A","2020",4.183333,"E"
"GRC","HUR","TOT","PC_LF","A","2010",12.75,
"GRC","HUR","TOT","PC_LF","A","2011",17.91667,
"GRC","HUR","TOT","PC_LF","A","2012",24.49167,
"GRC","HUR","TOT","PC_LF","A","2013",27.49167,
"GRC","HUR","TOT","PC_LF","A","2014",26.55,
"GRC","HUR","TOT","PC_LF","A","2015",24.95833,
"GRC","HUR","TOT","PC_LF","A","2016",23.56667,
"GRC","HUR","TOT","PC_LF","A","2017",21.53333,
"GRC","HUR","TOT","PC_LF","A","2018",19.30833,
"GRC","HUR","TOT","PC_LF","A","2019",17.33333,
"GRC","HUR","TOT","PC_LF","A","2020",16.43333,
"HUN","HUR","TOT","PC_LF","A","2010",10.8,
"HUN","HUR","TOT","PC_LF","A","2011",10.66667,
"HUN","HUR","TOT","PC_LF","A","2012",10.675,
"HUN","HUR","TOT","PC_LF","A","2013",9.85,
"HUN","HUR","TOT","PC_LF","A","2014",7.5,
"HUN","HUR","TOT","PC_LF","A","2015",6.633333,
"HUN","HUR","TOT","PC_LF","A","2016",4.975,
"HUN","HUR","TOT","PC_LF","A","2017",4.05,
"HUN","HUR","TOT","PC_LF","A","2018",3.591667,
"HUN","HUR","TOT","PC_LF","A","2019",3.3,
"HUN","HUR","TOT","PC_LF","A","2020",4.125,
"ISL","HUR","TOT","PC_LF","A","2010",8.3,
"ISL","HUR","TOT","PC_LF","A","2011",7.675,
"ISL","HUR","TOT","PC_LF","A","2012",6.633333,
"ISL","HUR","TOT","PC_LF","A","2013",5.841667,
"ISL","HUR","TOT","PC_LF","A","2014",5.408333,
"ISL","HUR","TOT","PC_LF","A","2015",4.508333,
"ISL","HUR","TOT","PC_LF","A","2016",3.341667,
"ISL","HUR","TOT","PC_LF","A","2017",3.283333,
"ISL","HUR","TOT","PC_LF","A","2018",3.1,
"ISL","HUR","TOT","PC_LF","A","2019",3.933333,
"ISL","HUR","TOT","PC_LF","A","2020",6.433333,
"IRL","HUR","TOT","PC_LF","A","2010",14.55833,
"IRL","HUR","TOT","PC_LF","A","2011",15.40833,
"IRL","HUR","TOT","PC_LF","A","2012",15.49167,
"IRL","HUR","TOT","PC_LF","A","2013",13.78333,
"IRL","HUR","TOT","PC_LF","A","2014",11.91667,
"IRL","HUR","TOT","PC_LF","A","2015",9.958333,
"IRL","HUR","TOT","PC_LF","A","2016",8.408334,
"IRL","HUR","TOT","PC_LF","A","2017",6.741667,
"IRL","HUR","TOT","PC_LF","A","2018",5.766667,
"IRL","HUR","TOT","PC_LF","A","2019",4.966667,
"IRL","HUR","TOT","PC_LF","A","2020",5.65,
"ITA","HUR","TOT","PC_LF","A","2010",8.541667,"P"
"ITA","HUR","TOT","PC_LF","A","2011",8.508333,"P"
"ITA","HUR","TOT","PC_LF","A","2012",10.88333,"P"
"ITA","HUR","TOT","PC_LF","A","2013",12.375,"P"
"ITA","HUR","TOT","PC_LF","A","2014",12.825,"P"
"ITA","HUR","TOT","PC_LF","A","2015",12.025,"P"
"ITA","HUR","TOT","PC_LF","A","2016",11.76667,"P"
"ITA","HUR","TOT","PC_LF","A","2017",11.275,"P"
"ITA","HUR","TOT","PC_LF","A","2018",10.675,"P"
"ITA","HUR","TOT","PC_LF","A","2019",10.025,"P"
"ITA","HUR","TOT","PC_LF","A","2020",9.283334,"P"
"JPN","HUR","TOT","PC_LF","A","2010",5.05,
"JPN","HUR","TOT","PC_LF","A","2011",4.583333,
"JPN","HUR","TOT","PC_LF","A","2012",4.35,
"JPN","HUR","TOT","PC_LF","A","2013",4.025,
"JPN","HUR","TOT","PC_LF","A","2014",3.591667,
"JPN","HUR","TOT","PC_LF","A","2015",3.375,
"JPN","HUR","TOT","PC_LF","A","2016",3.116667,
"JPN","HUR","TOT","PC_LF","A","2017",2.808333,
"JPN","HUR","TOT","PC_LF","A","2018",2.441667,
"JPN","HUR","TOT","PC_LF","A","2019",2.35,
"JPN","HUR","TOT","PC_LF","A","2020",2.775,
"KOR","HUR","TOT","PC_LF","A","2010",3.708333,
"KOR","HUR","TOT","PC_LF","A","2011",3.408333,
"KOR","HUR","TOT","PC_LF","A","2012",3.225,
"KOR","HUR","TOT","PC_LF","A","2013",3.1,
"KOR","HUR","TOT","PC_LF","A","2014",3.491667,
"KOR","HUR","TOT","PC_LF","A","2015",3.591667,
"KOR","HUR","TOT","PC_LF","A","2016",3.675,
"KOR","HUR","TOT","PC_LF","A","2017",3.683333,
"KOR","HUR","TOT","PC_LF","A","2018",3.833333,
"KOR","HUR","TOT","PC_LF","A","2019",3.783333,
"KOR","HUR","TOT","PC_LF","A","2020",3.941667,
"LUX","HUR","TOT","PC_LF","A","2010",4.583333,
"LUX","HUR","TOT","PC_LF","A","2011",4.833333,
"LUX","HUR","TOT","PC_LF","A","2012",5.066667,
"LUX","HUR","TOT","PC_LF","A","2013",5.875,
"LUX","HUR","TOT","PC_LF","A","2014",6.05,
"LUX","HUR","TOT","PC_LF","A","2015",6.458333,
"LUX","HUR","TOT","PC_LF","A","2016",6.333333,
"LUX","HUR","TOT","PC_LF","A","2017",5.616667,
"LUX","HUR","TOT","PC_LF","A","2018",5.5,
"LUX","HUR","TOT","PC_LF","A","2019",5.591667,
"LUX","HUR","TOT","PC_LF","A","2020",6.791667,
"MEX","HUR","TOT","PC_LF","A","2010",5.380876,
"MEX","HUR","TOT","PC_LF","A","2011",5.233573,
"MEX","HUR","TOT","PC_LF","A","2012",4.952769,
"MEX","HUR","TOT","PC_LF","A","2013",4.929466,
"MEX","HUR","TOT","PC_LF","A","2014",4.828958,
"MEX","HUR","TOT","PC_LF","A","2015",4.352943,
"MEX","HUR","TOT","PC_LF","A","2016",3.881356,
"MEX","HUR","TOT","PC_LF","A","2017",3.419046,
"MEX","HUR","TOT","PC_LF","A","2018",3.328549,
"MEX","HUR","TOT","PC_LF","A","2019",3.49458,
"MEX","HUR","TOT","PC_LF","A","2020",4.437142,"B"
"NLD","HUR","TOT","PC_LF","A","2010",5.008333,
"NLD","HUR","TOT","PC_LF","A","2011",4.991667,
"NLD","HUR","TOT","PC_LF","A","2012",5.825,
"NLD","HUR","TOT","PC_LF","A","2013",7.241667,
"NLD","HUR","TOT","PC_LF","A","2014",7.425,
"NLD","HUR","TOT","PC_LF","A","2015",6.891667,
"NLD","HUR","TOT","PC_LF","A","2016",6.025,
"NLD","HUR","TOT","PC_LF","A","2017",4.858333,
"NLD","HUR","TOT","PC_LF","A","2018",3.841667,
"NLD","HUR","TOT","PC_LF","A","2019",3.4,
"NLD","HUR","TOT","PC_LF","A","2020",3.833333,
"NZL","HUR","TOT","PC_LF","A","2010",6.225,
"NZL","HUR","TOT","PC_LF","A","2011",6.025,
"NZL","HUR","TOT","PC_LF","A","2012",6.475,
"NZL","HUR","TOT","PC_LF","A","2013",5.85,
"NZL","HUR","TOT","PC_LF","A","2014",5.425,
"NZL","HUR","TOT","PC_LF","A","2015",5.4,
"NZL","HUR","TOT","PC_LF","A","2016",5.125,
"NZL","HUR","TOT","PC_LF","A","2017",4.725,
"NZL","HUR","TOT","PC_LF","A","2018",4.325,
"NZL","HUR","TOT","PC_LF","A","2019",4.1,
"NZL","HUR","TOT","PC_LF","A","2020",4.6,
"NOR","HUR","TOT","PC_LF","A","2010",3.733333,
"NOR","HUR","TOT","PC_LF","A","2011",3.408333,
"NOR","HUR","TOT","PC_LF","A","2012",3.3,
"NOR","HUR","TOT","PC_LF","A","2013",3.758333,
"NOR","HUR","TOT","PC_LF","A","2014",3.633333,
"NOR","HUR","TOT","PC_LF","A","2015",4.5,
"NOR","HUR","TOT","PC_LF","A","2016",4.758333,
"NOR","HUR","TOT","PC_LF","A","2017",4.191667,
"NOR","HUR","TOT","PC_LF","A","2018",3.875,
"NOR","HUR","TOT","PC_LF","A","2019",3.7,
"POL","HUR","TOT","PC_LF","A","2010",9.675,
"POL","HUR","TOT","PC_LF","A","2011",9.65,
"POL","HUR","TOT","PC_LF","A","2012",10.10833,
"POL","HUR","TOT","PC_LF","A","2013",10.34167,
"POL","HUR","TOT","PC_LF","A","2014",9.016666,
"POL","HUR","TOT","PC_LF","A","2015",7.525,
"POL","HUR","TOT","PC_LF","A","2016",6.191667,
"POL","HUR","TOT","PC_LF","A","2017",4.883333,
"POL","HUR","TOT","PC_LF","A","2018",3.858333,
"POL","HUR","TOT","PC_LF","A","2019",3.283333,
"POL","HUR","TOT","PC_LF","A","2020",3.175,
"PRT","HUR","TOT","PC_LF","A","2010",11.98333,
"PRT","HUR","TOT","PC_LF","A","2011",13.46667,"B"
"PRT","HUR","TOT","PC_LF","A","2012",16.575,"P"
"PRT","HUR","TOT","PC_LF","A","2013",17.175,"P"
"PRT","HUR","TOT","PC_LF","A","2014",14.65,"P"
"PRT","HUR","TOT","PC_LF","A","2015",13.025,"P"
"PRT","HUR","TOT","PC_LF","A","2016",11.46667,"P"
"PRT","HUR","TOT","PC_LF","A","2017",9.225,"P"
"PRT","HUR","TOT","PC_LF","A","2018",7.166667,"P"
"PRT","HUR","TOT","PC_LF","A","2019",6.675,"P"
"PRT","HUR","TOT","PC_LF","A","2020",7.116667,"P"
"SVK","HUR","TOT","PC_LF","A","2010",14.5,
"SVK","HUR","TOT","PC_LF","A","2011",13.68333,
"SVK","HUR","TOT","PC_LF","A","2012",13.95833,
"SVK","HUR","TOT","PC_LF","A","2013",14.225,
"SVK","HUR","TOT","PC_LF","A","2014",13.20833,
"SVK","HUR","TOT","PC_LF","A","2015",11.5,
"SVK","HUR","TOT","PC_LF","A","2016",9.666667,
"SVK","HUR","TOT","PC_LF","A","2017",8.125,
"SVK","HUR","TOT","PC_LF","A","2018",6.541667,
"SVK","HUR","TOT","PC_LF","A","2019",5.766667,
"SVK","HUR","TOT","PC_LF","A","2020",6.7,
"ESP","HUR","TOT","PC_LF","A","2010",19.875,
"ESP","HUR","TOT","PC_LF","A","2011",21.40833,
"ESP","HUR","TOT","PC_LF","A","2012",24.79167,
"ESP","HUR","TOT","PC_LF","A","2013",26.11667,
"ESP","HUR","TOT","PC_LF","A","2014",24.45,
"ESP","HUR","TOT","PC_LF","A","2015",22.075,
"ESP","HUR","TOT","PC_LF","A","2016",19.65,
"ESP","HUR","TOT","PC_LF","A","2017",17.23333,
"ESP","HUR","TOT","PC_LF","A","2018",15.26667,
"ESP","HUR","TOT","PC_LF","A","2019",14.10833,
"ESP","HUR","TOT","PC_LF","A","2020",15.53333,
"SWE","HUR","TOT","PC_LF","A","2010",8.575,
"SWE","HUR","TOT","PC_LF","A","2011",7.766667,
"SWE","HUR","TOT","PC_LF","A","2012",7.966667,
"SWE","HUR","TOT","PC_LF","A","2013",8,
"SWE","HUR","TOT","PC_LF","A","2014",7.933333,
"SWE","HUR","TOT","PC_LF","A","2015",7.4,
"SWE","HUR","TOT","PC_LF","A","2016",6.95,
"SWE","HUR","TOT","PC_LF","A","2017",6.683333,
"SWE","HUR","TOT","PC_LF","A","2018",6.325,
"SWE","HUR","TOT","PC_LF","A","2019",6.766667,
"SWE","HUR","TOT","PC_LF","A","2020",8.291667,"B"
"CHE","HUR","TOT","PC_LF","A","2010",4.803483,
"CHE","HUR","TOT","PC_LF","A","2011",4.401403,
"CHE","HUR","TOT","PC_LF","A","2012",4.48394,
"CHE","HUR","TOT","PC_LF","A","2013",4.746688,
"CHE","HUR","TOT","PC_LF","A","2014",4.829303,
"CHE","HUR","TOT","PC_LF","A","2015",4.80018,
"CHE","HUR","TOT","PC_LF","A","2016",4.918711,
"CHE","HUR","TOT","PC_LF","A","2017",4.797114,
"CHE","HUR","TOT","PC_LF","A","2018",4.714227,
"CHE","HUR","TOT","PC_LF","A","2019",4.394452,
"CHE","HUR","TOT","PC_LF","A","2020",4.815328,
"TUR","HUR","TOT","PC_LF","A","2010",11.15,
"TUR","HUR","TOT","PC_LF","A","2011",9.141666,
"TUR","HUR","TOT","PC_LF","A","2012",8.433333,
"TUR","HUR","TOT","PC_LF","A","2013",9.05,
"TUR","HUR","TOT","PC_LF","A","2014",9.958333,
"TUR","HUR","TOT","PC_LF","A","2015",10.30833,
"TUR","HUR","TOT","PC_LF","A","2016",10.90833,
"TUR","HUR","TOT","PC_LF","A","2017",10.925,
"TUR","HUR","TOT","PC_LF","A","2018",10.975,
"TUR","HUR","TOT","PC_LF","A","2019",13.7,
"TUR","HUR","TOT","PC_LF","A","2020",13.13333,"B"
"GBR","HUR","TOT","PC_LF","A","2010",7.867382,
"GBR","HUR","TOT","PC_LF","A","2011",8.106182,
"GBR","HUR","TOT","PC_LF","A","2012",7.965578,
"GBR","HUR","TOT","PC_LF","A","2013",7.603673,
"GBR","HUR","TOT","PC_LF","A","2014",6.178483,
"GBR","HUR","TOT","PC_LF","A","2015",5.383935,
"GBR","HUR","TOT","PC_LF","A","2016",4.892704,
"GBR","HUR","TOT","PC_LF","A","2017",4.401906,
"GBR","HUR","TOT","PC_LF","A","2018",4.080814,
"GBR","HUR","TOT","PC_LF","A","2019",3.833521,
"GBR","HUR","TOT","PC_LF","A","2020",4.483186,
"USA","HUR","TOT","PC_LF","A","2010",9.616667,
"USA","HUR","TOT","PC_LF","A","2011",8.95,
"USA","HUR","TOT","PC_LF","A","2012",8.066667,
"USA","HUR","TOT","PC_LF","A","2013",7.375,
"USA","HUR","TOT","PC_LF","A","2014",6.166667,
"USA","HUR","TOT","PC_LF","A","2015",5.291667,
"USA","HUR","TOT","PC_LF","A","2016",4.866667,
"USA","HUR","TOT","PC_LF","A","2017",4.35,
"USA","HUR","TOT","PC_LF","A","2018",3.9,
"USA","HUR","TOT","PC_LF","A","2019",3.666667,
"USA","HUR","TOT","PC_LF","A","2020",8.091666,
"CHL","HUR","TOT","PC_LF","A","2010",8.15,
"CHL","HUR","TOT","PC_LF","A","2011",7.125,
"CHL","HUR","TOT","PC_LF","A","2012",6.545561,
"CHL","HUR","TOT","PC_LF","A","2013",6.08222,
"CHL","HUR","TOT","PC_LF","A","2014",6.495096,
"CHL","HUR","TOT","PC_LF","A","2015",6.328377,
"CHL","HUR","TOT","PC_LF","A","2016",6.684913,
"CHL","HUR","TOT","PC_LF","A","2017",6.965175,
"CHL","HUR","TOT","PC_LF","A","2018",7.376639,
"CHL","HUR","TOT","PC_LF","A","2019",7.22264,
"CHL","HUR","TOT","PC_LF","A","2020",10.7778,
"EST","HUR","TOT","PC_LF","A","2010",16.58333,
"EST","HUR","TOT","PC_LF","A","2011",12.35,
"EST","HUR","TOT","PC_LF","A","2012",9.908334,
"EST","HUR","TOT","PC_LF","A","2013",8.491667,
"EST","HUR","TOT","PC_LF","A","2014",7.316667,
"EST","HUR","TOT","PC_LF","A","2015",6.158333,
"EST","HUR","TOT","PC_LF","A","2016",6.691667,
"EST","HUR","TOT","PC_LF","A","2017",5.766667,
"EST","HUR","TOT","PC_LF","A","2018",5.533333,
"EST","HUR","TOT","PC_LF","A","2019",4.533333,
"EST","HUR","TOT","PC_LF","A","2020",6.783333,
"ISR","HUR","TOT","PC_LF","A","2010",6.636595,
"ISR","HUR","TOT","PC_LF","A","2011",5.602376,"B"
"ISR","HUR","TOT","PC_LF","A","2012",6.85,
"ISR","HUR","TOT","PC_LF","A","2013",6.208333,
"ISR","HUR","TOT","PC_LF","A","2014",5.908333,
"ISR","HUR","TOT","PC_LF","A","2015",5.241667,
"ISR","HUR","TOT","PC_LF","A","2016",4.808333,
"ISR","HUR","TOT","PC_LF","A","2017",4.216667,
"ISR","HUR","TOT","PC_LF","A","2018",4,
"ISR","HUR","TOT","PC_LF","A","2019",3.8,
"ISR","HUR","TOT","PC_LF","A","2020",4.325,
"SVN","HUR","TOT","PC_LF","A","2010",7.3,
"SVN","HUR","TOT","PC_LF","A","2011",8.241667,
"SVN","HUR","TOT","PC_LF","A","2012",8.916667,
"SVN","HUR","TOT","PC_LF","A","2013",10.175,
"SVN","HUR","TOT","PC_LF","A","2014",9.791667,
"SVN","HUR","TOT","PC_LF","A","2015",9.025,
"SVN","HUR","TOT","PC_LF","A","2016",8.025,
"SVN","HUR","TOT","PC_LF","A","2017",6.6,
"SVN","HUR","TOT","PC_LF","A","2018",5.158333,
"SVN","HUR","TOT","PC_LF","A","2019",4.466667,
"SVN","HUR","TOT","PC_LF","A","2020",5,
"OECD","HUR","TOT","PC_LF","A","2010",8.521715,"E"
"OECD","HUR","TOT","PC_LF","A","2011",8.112059,"E"
"OECD","HUR","TOT","PC_LF","A","2012",8.095731,"E"
"OECD","HUR","TOT","PC_LF","A","2013",8.004413,"E"
"OECD","HUR","TOT","PC_LF","A","2014",7.451231,"E"
"OECD","HUR","TOT","PC_LF","A","2015",6.882917,"E"
"OECD","HUR","TOT","PC_LF","A","2016",6.465595,"E"
"OECD","HUR","TOT","PC_LF","A","2017",5.936747,"E"
"OECD","HUR","TOT","PC_LF","A","2018",5.503367,"E"
"OECD","HUR","TOT","PC_LF","A","2019",5.417114,"E"
"OECD","HUR","TOT","PC_LF","A","2020",7.164934,"E"
"G-7","HUR","TOT","PC_LF","A","2010",8.167704,"E"
"G-7","HUR","TOT","PC_LF","A","2011",7.651028,"E"
"G-7","HUR","TOT","PC_LF","A","2012",7.383275,"E"
"G-7","HUR","TOT","PC_LF","A","2013",7.113827,"E"
"G-7","HUR","TOT","PC_LF","A","2014",6.397559,"E"
"G-7","HUR","TOT","PC_LF","A","2015",5.818655,"E"
"G-7","HUR","TOT","PC_LF","A","2016",5.465725,"E"
"G-7","HUR","TOT","PC_LF","A","2017",4.991781,"E"
"G-7","HUR","TOT","PC_LF","A","2018",4.556407,"E"
"G-7","HUR","TOT","PC_LF","A","2019",4.288278,"E"
"G-7","HUR","TOT","PC_LF","A","2020",6.507003,"E"
"EA19","HUR","TOT","PC_LF","A","2010",10.24167,
"EA19","HUR","TOT","PC_LF","A","2011",10.25833,
"EA19","HUR","TOT","PC_LF","A","2012",11.45,
"EA19","HUR","TOT","PC_LF","A","2013",12.075,
"EA19","HUR","TOT","PC_LF","A","2014",11.65833,
"EA19","HUR","TOT","PC_LF","A","2015",10.9,
"EA19","HUR","TOT","PC_LF","A","2016",10.04167,
"EA19","HUR","TOT","PC_LF","A","2017",9.083333,
"EA19","HUR","TOT","PC_LF","A","2018",8.2,
"EA19","HUR","TOT","PC_LF","A","2019",7.566667,
"EA19","HUR","TOT","PC_LF","A","2020",7.95,
"LVA","HUR","TOT","PC_LF","A","2010",19.475,
"LVA","HUR","TOT","PC_LF","A","2011",16.21667,
"LVA","HUR","TOT","PC_LF","A","2012",15.04167,
"LVA","HUR","TOT","PC_LF","A","2013",11.875,
"LVA","HUR","TOT","PC_LF","A","2014",10.85,
"LVA","HUR","TOT","PC_LF","A","2015",9.883333,
"LVA","HUR","TOT","PC_LF","A","2016",9.633333,
"LVA","HUR","TOT","PC_LF","A","2017",8.708333,
"LVA","HUR","TOT","PC_LF","A","2018",7.4,
"LVA","HUR","TOT","PC_LF","A","2019",6.308333,
"LVA","HUR","TOT","PC_LF","A","2020",8.108334,
"LTU","HUR","TOT","PC_LF","A","2010",17.84167,
"LTU","HUR","TOT","PC_LF","A","2011",15.39167,
"LTU","HUR","TOT","PC_LF","A","2012",13.40833,
"LTU","HUR","TOT","PC_LF","A","2013",11.8,
"LTU","HUR","TOT","PC_LF","A","2014",10.725,
"LTU","HUR","TOT","PC_LF","A","2015",9.133333,
"LTU","HUR","TOT","PC_LF","A","2016",7.9,
"LTU","HUR","TOT","PC_LF","A","2017",7.116667,
"LTU","HUR","TOT","PC_LF","A","2018",6.183333,
"LTU","HUR","TOT","PC_LF","A","2019",6.283333,
"LTU","HUR","TOT","PC_LF","A","2020",8.516666,
"COL","HUR","TOT","PC_LF","A","2010",11.84167,
"COL","HUR","TOT","PC_LF","A","2011",10.895,
"COL","HUR","TOT","PC_LF","A","2012",10.43417,
"COL","HUR","TOT","PC_LF","A","2013",9.705833,
"COL","HUR","TOT","PC_LF","A","2014",9.166667,
"COL","HUR","TOT","PC_LF","A","2015",8.960834,
"COL","HUR","TOT","PC_LF","A","2016",9.274167,
"COL","HUR","TOT","PC_LF","A","2017",9.425834,
"COL","HUR","TOT","PC_LF","A","2018",9.719167,
"COL","HUR","TOT","PC_LF","A","2019",10.545,
"COL","HUR","TOT","PC_LF","A","2020",16.13417,
"EU27_2020","HUR","TOT","PC_LF","A","2010",9.925,
"EU27_2020","HUR","TOT","PC_LF","A","2011",9.933333,
"EU27_2020","HUR","TOT","PC_LF","A","2012",10.93333,
"EU27_2020","HUR","TOT","PC_LF","A","2013",11.44167,
"EU27_2020","HUR","TOT","PC_LF","A","2014",10.9,
"EU27_2020","HUR","TOT","PC_LF","A","2015",10.06667,
"EU27_2020","HUR","TOT","PC_LF","A","2016",9.15,
"EU27_2020","HUR","TOT","PC_LF","A","2017",8.158334,
"EU27_2020","HUR","TOT","PC_LF","A","2018",7.283333,
"EU27_2020","HUR","TOT","PC_LF","A","2019",6.716667,
"EU27_2020","HUR","TOT","PC_LF","A","2020",7.15,
"CRI","HUR","TOT","PC_LF","A","2011",10.2283,
"CRI","HUR","TOT","PC_LF","A","2012",10.14184,
"CRI","HUR","TOT","PC_LF","A","2013",9.499059,
"CRI","HUR","TOT","PC_LF","A","2014",9.579739,
"CRI","HUR","TOT","PC_LF","A","2015",9.606182,
"CRI","HUR","TOT","PC_LF","A","2016",9.472075,
"CRI","HUR","TOT","PC_LF","A","2017",9.174437,
"CRI","HUR","TOT","PC_LF","A","2018",10.17895,
"CRI","HUR","TOT","PC_LF","A","2019",11.7715,
"CRI","HUR","TOT","PC_LF","A","2020",19.68985,
